ENODEB_NAME,Latitude,Longitude
LTE_Kwankosana_DN_KZN,-28.7959444444444,29.1735555555556
RAN_Aviary_Hill_KZN,-27.71775,29.91948
LTE_Kwamame_DN_KZN,-28.155776,31.4769725
LTE_Chakide_Store_DN_KZN,-29.4798055555556,30.4343333333333
RAN_Commercial_Rd_KZN,-29.6016666666667,30.3784444444444
LTE_The_Bend_DN_KZN,-29.366278,29.857306
RAN_Sunnydale_Sec_Schl_ATC_KZN,-28.888908,31.483611
RAN_Victoria_Rd_Office_Park_MTN_KZN,-29.6066388888889,30.3595277777778
LTE_Ntayiyane_Hill_DN_KZN,-28.7262666666667,30.5622916666667
LTE_Emfihlweni_DN_KZN,-26.9720277777778,32.6090277777778
LTE_Bhekabantu_DN_KZN,-26.9693888888889,32.3274722222222
LTE_Welkom_Farm_DN_KZN,-28.3027777777778,29.4994444444444
RAN_Mkuze_Falls_KZN,-27.6729583333333,31.669275
LTE_Phinda_Mziki_DN_KZN,-27.8192777777778,32.2858055555556
LTE_Dumisa_MTN_DN_KZN,-30.2575,30.4225
LTE_Glencoe_Municipal_MTN_DN_KZN,-28.1786111111111,30.1541666666667
RAN_Amajuba_High_Atlas_KZN,-27.733206,29.961448
LTE_Ndwedwe_Vill_MTN_DN_KZN,-29.538333,30.90825
RAN_Newcastle_Church_Atlas_KZN,-27.725058,29.972772
RAN_Welbedacht_ATC_KZN,-29.9160555555556,30.8404722222222
LTE_Century_Casino_DN_KZN,-27.7807777777778,29.9463333333333
RAN_Verulam_East_KZN,-29.664775,31.07016
LTE_Ramnarian_St_MTN_DN_KZN,-29.574444,31.010361
LTE_Lot137_FifeRd_MTN_DN_KZN,-31.052853,30.226046
RAN_Monteseel_WT_KZN,-29.740989,30.682481
RAN_Bamboo_Lane_KZN,-29.82073,30.870506
RAN_Bothas_Hill_ATC_KZN,-29.7488888888889,30.7422777777778
RAN_Meerensee_East_KZN,-28.7861111111111,32.1078611111111
RAN_Point_Rd_KZN,-29.866893,31.040957
RAN_Gillespie_Str_KZN,-29.85872125,31.03871935
LTE_Dargle_DN_KZN,-29.5122416666667,30.0560388888889
LTE_Patricia_Hill_ATC_DN_KZN,-27.8888888888889,30.129
LTE_Dicks_ATC_DN_KZN,-27.7469722222222,30.0905555555556
RAN_Mpophomeni_KZN,-29.5841388888889,30.1890833333333
RAN_Dunveria_ATC_KZN,-29.5566666666667,30.4186111111111
RAN_Galleria_Int_KZN,-30.0345138888889,30.8990277777778
LTE_Bergville_Silo_DN_KZN,-28.7284166666667,29.3460555555556
RAN_Bev_Hills_Hotel_1_KZN,-29.727222,31.087583
RAN_Brickhill_Rd_KZN,-29.85293647,31.03542887
LTE_Chmpgn_Sprts_Rsrt_DN_KZN,-28.9999722222222,29.4695277777778
RAN_Veld_en_Vlei_Church_Atlas_KZN,-28.747978,32.06305
LTE_Wembezi_MTN_DN_KZN,-29.0653833333333,29.7856527777778
RAN_Escombe_ATC_KZN,-29.87743,30.907998
RAN_Fairmont_Hotel_MTN_KZN,-29.562714,31.190472
LTE_Ingwadini_Hill_MTN_DN_KZN,-30.156972,30.590667
RAN_Silver_Svce_MTN_KZN,-29.9227777777778,30.9825
RAN_Masihambisane_Prim_Atlas_KZN,-27.7903,30.1424
RAN_M41_CP1_KZN,-29.744498,31.068063
RAN_Lotus_Supermarket_KZN,-29.57244,30.3914
RAN_Kloof_Wtr_Res_MTN_KZN,-29.7892,30.82929
RAN_Cromwell_Rd_KZN,-29.863,30.9956388888889
LTE_Wildcoast_Sun_DN_KZN,-31.08688775,30.186092185
LTE_Vodacom_Shop_Musgrave_pCell_DN_KZN,-29.8486593,30.9968573
RAN_Mobeni_Meth_MTN_KZN,-29.930276,30.939167
RAN_Nwabi_High_KZN,-29.944794,30.79033
